idx	target_name	accession	query_name	accession_c	clan_name	mdl	mdl_from	mdl_to	seq_from	seq_to	strand	trunc	pass	gc	bias	score	e-value	inc	olp	anyidx	afrct1	afrct2	winidx	wfrct1	wfrct2	description_target
9	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	4052	3934	-	no	1	0.55	0	127.4	3.70E-28	!	*	-	-	-	-	-	-	-
10	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	5898	5780	-	no	1	0.55	0	126.9	5.10E-28	!	*	-	-	-	-	-	-	-
11	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	4672	4554	-	no	1	0.53	0	125.7	1.10E-27	!	*	-	-	-	-	-	-	-
12	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	5585	5467	-	no	1	0.53	0	125.1	1.40E-27	!	*	-	-	-	-	-	-	-
13	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	3146	3028	-	no	1	0.55	0	122.1	8.90E-27	!	*	-	-	-	-	-	-	-
14	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	1588	1470	-	no	1	0.54	0	120.9	1.70E-26	!	*	-	-	-	-	-	-	-
15	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	5281	5163	-	no	1	0.54	0	120.9	1.70E-26	!	*	-	-	-	-	-	-	-
16	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	6789	6671	-	no	1	0.51	0	118.2	8.80E-26	!	*	-	-	-	-	-	-	-
17	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	3454	3336	-	no	1	0.54	0	117.8	1.10E-25	!	*	-	-	-	-	-	-	-
18	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	4980	4862	-	no	1	0.51	0	115.2	5.40E-25	!	*	-	-	-	-	-	-	-
19	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	2209	2091	-	no	1	0.53	0	112.6	2.40E-24	!	*	-	-	-	-	-	-	-
20	5S_rRNA	RF00001	7180000113399	-	-	cm	1	119	4365	4247	-	no	1	0.52	0	110.9	6.70E-24	!	*	-	-	-	-	-	-	-
21	5S_rRNA	RF00001	7180000113399	-	-	cm	1	75	75	1	-	3'	3	0.52	0	66.9	1.60E-12	!	*	-	-	-	-	-	-	-
1	MIR473	RF00778	7180000115771	-	-	cm	1	95	63974	64055	+	no	1	0.5	0	64	3.10E-11	!	^	-	-	-	-	-	-	microRNA MIR473
2	MIR473	RF00778	7180000115771	-	-	cm	1	95	64123	64200	+	no	1	0.54	0	61.6	1.30E-10	!	^	-	-	-	-	-	-	microRNA MIR473
3	MIR473	RF00778	7180000115771	-	-	cm	1	95	64201	64124	-	no	1	0.54	0	55.1	7.30E-09	!	^	-	-	-	-	-	-	microRNA MIR473
4	MIR473	RF00778	7180000115771	-	-	cm	1	95	64056	63975	-	no	1	0.5	0	44.8	4.10E-06	!	^	-	-	-	-	-	-	microRNA MIR473
5	MIR477	RF00780	7180000115771	-	-	cm	1	99	64203	64122	-	no	1	0.54	0	37.4	0.00017	!	=	3	0.951	1	""""	""""	""""	microRNA MIR477
6	MIR477	RF00780	7180000115771	-	-	cm	1	99	63972	64057	+	no	1	0.5	0	33.6	0.0021	!	=	1	0.953	1	""""	""""	""""	microRNA MIR477
7	MIR1446	RF00954	7180000115771	-	-	cm	1	105	64206	64118	-	no	1	0.53	0	33.3	0.0029	!	=	3	0.876	1	""""	""""	""""	microRNA MIR1446
1	mir-8517	RF04051	7180000110484	-	-	cm	1	108	5080	4978	-	no	1	0.28	0.8	31.5	0.0048	!	*	-	-	-	-	-	-	mir-8517 microRNA precursor family
1	tRNA	RF00005	7180000118864	-	-	cm	1	71	83197	83268	+	no	1	0.54	0	70	5.20E-13	!	*	-	-	-	-	-	-	tRNA
2	mir-2002	RF03821	7180000118864	-	-	cm	1	68	105760	105826	+	no	1	0.24	0.9	40.4	0.00019	!	*	-	-	-	-	-	-	mir-2002 microRNA precursor family
1	MIR159	RF00638	7180000115648	-	-	cm	1	196	41084	40886	-	no	1	0.48	0	89.3	2.50E-17	!	*	-	-	-	-	-	-	microRNA MIR159
2	MIR159	RF00638	7180000115648	-	-	cm	1	196	40888	41086	+	no	1	0.48	0	44.3	4.00E-06	!	*	-	-	-	-	-	-	microRNA MIR159
1	mir-4536	RF03747	7180000117826	-	-	cm	1	88	48923	48836	-	no	1	0.18	12.1	36.1	0.0078	!	^	-	-	-	-	-	-	mir-4536 microRNA precursor family
2	BSR0709	RF02610	7180000117826	-	-	cm	70	173	62161	62059	-	no	1	0.3	2.8	24.6	0.0088	!	*	-	-	-	-	-	-	Brucella sRNA 0709
1	MIR408	RF00690	7180000111630	-	-	cm	1	136	24044	24185	+	no	1	0.34	0.8	28.7	0.0029	!	*	-	-	-	-	-	-	microRNA MIR408
1	mir-2542	RF03275	7180000119630	-	-	cm	1	85	13004	12934	-	no	1	0.25	0.2	30.7	0.0091	!	*	-	-	-	-	-	-	mir-2542 microRNA precursor family
1	mir-4536	RF03747	7180000114891	-	-	cm	1	88	7098	7187	+	no	1	0.24	2.3	37.3	0.0006	!	^	-	-	-	-	-	-	mir-4536 microRNA precursor family
2	mir-4536	RF03747	7180000114891	-	-	cm	1	88	7260	7173	-	no	1	0.22	8.5	36.7	0.00082	!	^	-	-	-	-	-	-	mir-4536 microRNA precursor family
3	MIR6149	RF03905	7180000114891	-	-	cm	1	99	7183	7088	-	no	1	0.24	4.3	30.6	0.0095	!	=	2	0.115	0.125	""""	""""	""""	MIR6149 microRNA precursor family
1	LSU_rRNA_eukarya	RF02543	7180000119272	-	-	cm	665	1889	25414	24244	-	no	1	0.48	0.4	830	4.50E-209	!	^	-	-	-	-	-	-	Eukaryotic large subunit ribosomal RNA
2	LSU_rRNA_eukarya	RF02543	7180000119272	-	-	cm	1891	3399	27848	28920	+	no	1	0.43	5.5	731	1.60E-183	!	^	-	-	-	-	-	-	Eukaryotic large subunit ribosomal RNA
3	LSU_rRNA_eukarya	RF02543	7180000119272	-	-	cm	1892	2389	24241	23743	-	no	1	0.43	0	410.4	8.60E-101	!	*	-	-	-	-	-	-	Eukaryotic large subunit ribosomal RNA
4	LSU_rRNA_bacteria	RF02541	7180000119272	-	-	cm	572	2043	25452	23765	-	no	1	0.47	3.8	301.4	2.70E-96	!	=	1	0.694	1	""""	""""	""""	Bacterial large subunit ribosomal RNA
5	LSU_rRNA_archaea	RF02540	7180000119272	-	-	cm	1424	2146	24634	23743	-	no	1	0.46	0	206.6	1.20E-60	!	=	1	0.438	0.334	""""	""""	""""	Archaeal large subunit ribosomal RNA
6	LSU_rRNA_archaea	RF02540	7180000119272	-	-	cm	663	1423	25414	24636	-	no	1	0.47	0.2	188.4	6.50E-55	!	=	1	1	0.665	""""	""""	""""	Archaeal large subunit ribosomal RNA
7	LSU_rRNA_archaea	RF02540	7180000119272	-	-	cm	2154	2717	28320	28911	+	no	1	0.4	6.6	181.6	9.20E-53	!	=	2	1	0.552	""""	""""	""""	Archaeal large subunit ribosomal RNA
8	LSU_rRNA_bacteria	RF02541	7180000119272	-	-	cm	2085	2636	28331	28902	+	no	1	0.4	4.1	137.4	2.40E-41	!	=	2	1	0.533	""""	""""	""""	Bacterial large subunit ribosomal RNA
9	LSU_rRNA_archaea	RF02540	7180000119272	-	-	cm	1879	2094	28076	28290	+	no	1	0.41	0	127.7	1.00E-35	!	=	2	1	0.2	""""	""""	""""	Archaeal large subunit ribosomal RNA
10	LSU_rRNA_bacteria	RF02541	7180000119272	-	-	cm	1712	2018	28013	28294	+	no	1	0.44	0	102.6	1.10E-29	!	=	2	1	0.263	""""	""""	""""	Bacterial large subunit ribosomal RNA
11	LSU_rRNA_eukarya	RF02543	7180000119272	-	-	cm	2440	2605	23692	23525	-	no	1	0.32	2.1	69.2	9.90E-13	!	^	-	-	-	-	-	-	Eukaryotic large subunit ribosomal RNA
12	mir-4662	RF03938	7180000119272	-	-	cm	1	67	26548	26478	-	no	1	0.61	0	36.2	0.0012	!	^	-	-	-	-	-	-	mir-4662 microRNA precursor family
13	mir-4662	RF03938	7180000119272	-	-	cm	1	67	26478	26548	+	no	1	0.61	0	34.8	0.0028	!	^	-	-	-	-	-	-	mir-4662 microRNA precursor family
1	mir-75	RF00828	7180000118969	-	-	cm	1	100	78532	78628	+	no	1	0.32	0	49.3	6.40E-08	!	^	-	-	-	-	-	-	microRNA mir-75
2	mir-75	RF00828	7180000118969	-	-	cm	1	100	78634	78538	-	no	1	0.32	0	40.6	2.10E-05	!	^	-	-	-	-	-	-	microRNA mir-75
3	mir-582	RF00927	7180000118969	-	-	cm	1	98	78628	78528	-	no	1	0.34	0	38.1	0.00071	!	=	2	0.901	0.938	""""	""""	""""	microRNA mir-582
4	mir-582	RF00927	7180000118969	-	-	cm	1	98	78539	78637	+	no	1	0.32	0	37.8	0.00086	!	=	1	0.909	0.928	""""	""""	""""	microRNA mir-582
1	snoR71	RF00097	7180000108220	-	-	cm	1	107	5218	5324	+	no	1	0.35	0	48	2.00E-07	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	SCARNA7	RF01295	7180000115893	-	-	cm	1	330	8116	8174	+	no	1	0.32	0	24.9	0.0093	!	*	-	-	-	-	-	-	Small Cajal body-specific RNA 7
1	SSU_rRNA_eukarya	RF01960	7180000115832	-	-	cm	1	485	485	1	-	3'	3	0.48	0	452.4	2.60E-134	!	^	-	-	-	-	-	-	Eukaryotic small subunit ribosomal RNA
2	SSU_rRNA_microsporidia	RF02542	7180000115832	-	-	cm	1	342	485	1	-	3'	3	0.48	0	207.5	1.30E-60	!	=	1	1	1	""""	""""	""""	Microsporidia small subunit ribosomal RNA
3	SSU_rRNA_bacteria	RF00177	7180000115832	-	-	cm	1	412	490	1	-	3'	3	0.48	0	90.9	5.10E-26	!	=	1	0.99	1	""""	""""	""""	Bacterial small subunit ribosomal RNA
4	SSU_rRNA_archaea	RF01959	7180000115832	-	-	cm	1	395	485	1	-	3'	3	0.48	0	95.9	2.70E-25	!	=	1	1	1	""""	""""	""""	Archaeal small subunit ribosomal RNA
1	mir-3622	RF03703	7180000110863	-	-	cm	1	84	747	817	+	no	1	0.73	0.1	42.1	1.40E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
2	mir-3622	RF03703	7180000110863	-	-	cm	1	84	588	711	+	no	1	0.72	2.1	40	4.80E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
3	mir-341	RF03771	7180000110863	-	-	cm	1	96	298	208	-	no	1	0.69	0	34.8	5.30E-05	!	^	-	-	-	-	-	-	mir-341 microRNA precursor family
4	mir-341	RF03771	7180000110863	-	-	cm	1	96	828	738	-	no	1	0.73	0.4	32.6	0.00023	!	^	-	-	-	-	-	-	mir-341 microRNA precursor family
5	mir-3622	RF03703	7180000110863	-	-	cm	1	84	482	552	+	no	1	0.69	0	37.1	0.00024	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
6	mir-3622	RF03703	7180000110863	-	-	cm	1	84	552	482	-	no	1	0.69	0	36.8	0.00029	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
7	mir-341	RF03771	7180000110863	-	-	cm	1	96	404	314	-	no	1	0.7	0.1	30.8	0.00074	!	*	-	-	-	-	-	-	mir-341 microRNA precursor family
8	mir-341	RF03771	7180000110863	-	-	cm	1	96	510	420	-	no	1	0.7	0.1	30.8	0.00076	!	=	6	0.319	0.408	""""	""""	""""	mir-341 microRNA precursor family
9	mir-341	RF03771	7180000110863	-	-	cm	1	96	192	102	-	no	1	0.69	0	30.5	0.00094	!	*	-	-	-	-	-	-	mir-341 microRNA precursor family
10	mir-341	RF03771	7180000110863	-	-	cm	1	96	616	526	-	no	1	0.7	0.1	28.8	0.003	!	=	6	0.297	0.38	""""	""""	""""	mir-341 microRNA precursor family
1	MIR408	RF00690	7180000115947	-	-	cm	1	136	1041	1164	+	no	1	0.37	0.9	30.8	0.00017	!	^	-	-	-	-	-	-	microRNA MIR408
1	tRNA	RF00005	7180000118526	-	-	cm	1	71	235738	235667	-	no	1	0.5	0	68.8	2.50E-12	!	*	-	-	-	-	-	-	tRNA
2	tRNA	RF00005	7180000118526	-	-	cm	1	71	253712	253640	-	no	1	0.63	0	62.8	1.20E-10	!	^	-	-	-	-	-	-	tRNA
3	tmRNA	RF00023	7180000118526	-	-	cm	1	354	253712	253637	-	no	1	0.62	0	35.2	1.50E-05	!	=	2	0.961	1	""""	""""	""""	transfer-messenger RNA
1	snoR71	RF00097	7180000118811	-	-	cm	1	107	271713	271819	+	no	1	0.49	0	41.3	0.00025	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	mir-3479	RF03512	7180000115545	-	-	cm	1	74	720	822	+	no	1	0.28	1.1	36.7	1.20E-05	!	^	-	-	-	-	-	-	mir-3479 microRNA precursor family
2	MIR2871	RF03659	7180000115545	-	-	cm	1	118	811	731	-	no	1	0.28	0.2	37.1	4.80E-05	!	^	-	-	-	-	-	-	MIR2871 microRNA precursor family
1	MIR169_2	RF00645	7180000106167	-	-	cm	1	134	277390	277517	+	no	1	0.41	0	57.8	1.00E-12	!	^	-	-	-	-	-	-	microRNA MIR169_2
2	MIR169_5	RF00865	7180000106167	-	-	cm	1	129	277523	277383	-	no	1	0.39	0	69.4	6.50E-11	!	^	-	-	-	-	-	-	microRNA MIR169_5
3	MIR1122	RF00906	7180000106167	-	-	cm	1	135	463999	464100	+	no	1	0.23	7.5	50.2	3.30E-06	!	*	-	-	-	-	-	-	microRNA MIR1122
4	MIR1122	RF00906	7180000106167	-	-	cm	1	135	464100	463999	-	no	1	0.23	7.5	50.1	3.40E-06	!	^	-	-	-	-	-	-	microRNA MIR1122
5	MIR169_2	RF00645	7180000106167	-	-	cm	1	134	277515	277388	-	no	1	0.42	0	32.8	0.00042	!	=	2	1	0.908	""""	""""	""""	microRNA MIR169_2
1	LSU_rRNA_eukarya	RF02543	7180000111217	-	-	cm	1	3401	8388	11783	+	no	1	0.58	72.4	3221.3	0	!	^	-	-	-	-	-	-	Eukaryotic large subunit ribosomal RNA
2	SSU_rRNA_eukarya	RF01960	7180000111217	-	-	cm	1	1851	5939	7747	+	no	1	0.5	0	1780.5	0	!	^	-	-	-	-	-	-	Eukaryotic small subunit ribosomal RNA
3	LSU_rRNA_archaea	RF02540	7180000111217	-	-	cm	1	2990	8312	11567	+	no	1	0.58	69.2	1395.1	0	!	=	1	0.977	0.936	""""	""""	""""	Archaeal large subunit ribosomal RNA
4	LSU_rRNA_bacteria	RF02541	7180000111217	-	-	cm	1	2925	7986	11614	+	no	1	0.58	82.6	1184.3	0	!	=	1	0.889	0.95	""""	""""	""""	Bacterial large subunit ribosomal RNA
5	SSU_rRNA_microsporidia	RF02542	7180000111217	-	-	cm	1	1312	5939	7747	+	no	1	0.5	0	871	2.20E-264	!	=	2	1	1	""""	""""	""""	Microsporidia small subunit ribosomal RNA
6	SSU_rRNA_archaea	RF01959	7180000111217	-	-	cm	1	1477	5939	7750	+	no	1	0.5	0	648	1.20E-189	!	=	2	0.998	1	""""	""""	""""	Archaeal small subunit ribosomal RNA
7	SSU_rRNA_bacteria	RF00177	7180000111217	-	-	cm	1	1533	5934	7752	+	no	1	0.5	0	541.9	3.00E-171	!	=	2	0.995	1	""""	""""	""""	Bacterial small subunit ribosomal RNA
8	5_8S_rRNA	RF00002	7180000111217	-	-	cm	1	154	7998	8153	+	no	1	0.54	0	147.5	8.10E-38	!	=	4	1	0.043	-	-	-	5.8S ribosomal RNA
9	mir-3622	RF03703	7180000111217	-	-	cm	1	84	463	586	+	no	1	0.69	0.3	43.3	3.10E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
10	mir-3622	RF03703	7180000111217	-	-	cm	1	84	13492	13562	+	no	1	0.7	0	42.9	4.00E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
11	mir-3622	RF03703	7180000111217	-	-	cm	1	84	12756	12826	+	no	1	0.7	0	42.9	4.00E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
12	mir-3622	RF03703	7180000111217	-	-	cm	1	84	13069	13139	+	no	1	0.7	0	42.9	4.00E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
13	mir-3622	RF03703	7180000111217	-	-	cm	1	84	13139	13069	-	no	1	0.7	0	40.2	0.00018	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
14	mir-3622	RF03703	7180000111217	-	-	cm	1	84	12826	12756	-	no	1	0.7	0	40.2	0.00018	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
15	mir-3622	RF03703	7180000111217	-	-	cm	1	84	1204	1274	+	no	1	0.69	0	39.7	0.00024	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
16	mir-341	RF03771	7180000111217	-	-	cm	1	96	1444	1354	-	no	1	0.71	0.1	32.5	0.0011	!	*	-	-	-	-	-	-	mir-341 microRNA precursor family
17	mir-341	RF03771	7180000111217	-	-	cm	1	96	13626	13536	-	no	1	0.71	0.1	32.5	0.0011	!	^	-	-	-	-	-	-	mir-341 microRNA precursor family
18	RT-15	RF03018	7180000111217	-	-	cm	1	193	12548	12398	-	no	1	0.65	0	26.5	0.0083	!	^	-	-	-	-	-	-	RT-15 RNA
19	RT-15	RF03018	7180000111217	-	-	cm	1	193	361	203	-	no	1	0.67	0.3	26.3	0.0095	!	*	-	-	-	-	-	-	RT-15 RNA
1	mir-548	RF01061	7180000113128	-	-	cm	1	84	15077	14966	-	no	1	0.28	1.4	40.2	5.10E-05	!	*	-	-	-	-	-	-	microRNA mir-548
1	snoR83	RF01227	7180000110702	-	-	cm	1	129	5004	4879	-	no	1	0.35	0	73.4	5.00E-13	!	^	-	-	-	-	-	-	Small nucleolar RNA snoR83
2	mir-3622	RF03703	7180000110702	-	-	cm	1	84	3891	3821	-	no	1	0.7	0	42.9	1.40E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
3	mir-3622	RF03703	7180000110702	-	-	cm	1	84	5494	5424	-	no	1	0.7	0	42.9	1.40E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
4	mir-3622	RF03703	7180000110702	-	-	cm	1	84	4259	4189	-	no	1	0.72	0	42.4	1.80E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
5	mir-3622	RF03703	7180000110702	-	-	cm	1	84	6183	6113	-	no	1	0.69	0	41.1	3.90E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
6	mir-3622	RF03703	7180000110702	-	-	cm	1	84	5424	5494	+	no	1	0.7	0	40.2	6.20E-05	!	^	-	-	-	-	-	-	mir-3622 microRNA precursor family
7	mir-3622	RF03703	7180000110702	-	-	cm	1	84	4189	4259	+	no	1	0.72	0	39.6	8.70E-05	!	*	-	-	-	-	-	-	mir-3622 microRNA precursor family
8	mir-341	RF03771	7180000110702	-	-	cm	1	96	5201	5291	+	no	1	0.71	0.1	32.5	0.00037	!	*	-	-	-	-	-	-	mir-341 microRNA precursor family
9	RT-15	RF03018	7180000110702	-	-	cm	1	193	4467	4625	+	no	1	0.65	0.1	25.5	0.0055	!	^	-	-	-	-	-	-	RT-15 RNA
1	MIR6445	RF03933	7180000118994	-	-	cm	1	117	135314	135396	+	no	1	0.3	0	36.1	0.0036	!	*	-	-	-	-	-	-	MIR6445 microRNA precursor family
1	MIR6149	RF03905	7180000117000	-	-	cm	1	99	65	160	+	no	1	0.22	8.2	28.1	0.0013	!	^	-	-	-	-	-	-	MIR6149 microRNA precursor family
2	mir-558	RF01021	7180000117000	-	-	cm	1	94	131	190	+	no	1	0.22	2.3	26.5	0.0016	!	=	1	0.5	0.312	""""	""""	""""	microRNA mir-558
3	mir-2002	RF03821	7180000117000	-	-	cm	1	68	74	148	+	no	1	0.25	0.5	25	0.0065	!	=	1	1	0.781	""""	""""	""""	mir-2002 microRNA precursor family
1	mir-144	RF00682	7180000118512	-	-	cm	1	85	42918	43002	+	no	1	0.22	4.3	36.6	0.00083	!	*	-	-	-	-	-	-	microRNA mir-144
2	mir-395	RF00451	7180000118512	-	-	cm	1	108	43027	42892	-	no	1	0.25	9.8	34.1	0.0055	!	*	-	-	-	-	-	-	mir-395 microRNA precursor family
1	snoR126	RF01426	7180000107448	-	-	cm	1	101	77989	77875	-	no	1	0.38	0.1	65.9	5.00E-10	!	*	-	-	-	-	-	-	small nucleolar RNA snoR126
2	snoR8a	RF01284	7180000107448	-	-	cm	1	92	77787	77694	-	no	1	0.41	0	65.4	1.50E-09	!	^	-	-	-	-	-	-	Small nucleolar RNA snoR8a
1	mir-4536	RF03747	7180000111231	-	-	cm	1	88	61065	61136	+	no	1	0.21	3.1	36.7	0.0061	!	^	-	-	-	-	-	-	mir-4536 microRNA precursor family
2	MIR6149	RF03905	7180000111231	-	-	cm	1	99	61060	61143	+	no	1	0.2	7.4	34.4	0.0063	!	=	1	0.857	1	""""	""""	""""	MIR6149 microRNA precursor family
3	mir-4536	RF03747	7180000111231	-	-	cm	1	88	61144	61057	-	no	1	0.2	7.9	36.2	0.0083	!	^	-	-	-	-	-	-	mir-4536 microRNA precursor family
4	mir-238	RF03519	7180000111231	-	-	cm	1	85	61138	61063	-	no	1	0.21	3.9	33.5	0.0094	!	=	3	1	0.864	""""	""""	""""	mir-238 microRNA precursor family
1	mir-592	RF00877	7180000107481	-	-	cm	1	88	25163	25076	-	no	1	0.49	0	34.6	0.0032	!	*	-	-	-	-	-	-	microRNA mir-592
1	sno_ZL1	RF02723	7180000109906	-	-	cm	36	166	23049	23174	+	no	1	0.29	4.7	30	0.0015	!	^	-	-	-	-	-	-	Small nucleolar RNA ZL1
1	MIR6288	RF03664	7180000108057	-	-	cm	1	92	4796	4907	+	no	1	0.23	9	30.8	0.0043	!	*	-	-	-	-	-	-	MIR6288 microRNA precursor family
1	snoR71	RF00097	7180000117893	-	-	cm	1	107	70199	70094	-	no	1	0.49	0	45.4	5.70E-06	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	MIR5284	RF03983	7180000106347	-	-	cm	1	111	3491	3381	-	no	1	0.52	0	52.6	5.90E-09	!	^	-	-	-	-	-	-	MIR5284 microRNA precursor family
2	MIR1882	RF03632	7180000106347	-	-	cm	1	131	3497	3375	-	no	1	0.5	0	53.4	7.90E-09	!	=	1	0.902	1	""""	""""	""""	MIR1882 microRNA precursor family
3	MIR1882	RF03632	7180000106347	-	-	cm	1	131	3375	3497	+	no	1	0.5	0	51.7	2.20E-08	!	*	-	-	-	-	-	-	MIR1882 microRNA precursor family
1	tRNA	RF00005	7180000111646	-	-	cm	1	71	30603	30684	+	no	1	0.59	0	61.6	2.60E-11	!	^	-	-	-	-	-	-	tRNA
1	SSU_rRNA_bacteria	RF00177	7180000115902	-	-	cm	1	1533	5673	4180	-	no	1	0.56	22.6	1526.7	0	!	^	-	-	-	-	-	-	Bacterial small subunit ribosomal RNA
2	LSU_rRNA_bacteria	RF02541	7180000115902	-	-	cm	1	1782	1768	1	-	3'	3	0.54	42.1	1326	0	!	^	-	-	-	-	-	-	Bacterial large subunit ribosomal RNA
3	SSU_rRNA_archaea	RF01959	7180000115902	-	-	cm	1	1477	5668	4182	-	no	1	0.57	24.4	1025.8	0	!	=	1	1	0.995	""""	""""	""""	Archaeal small subunit ribosomal RNA
4	LSU_rRNA_archaea	RF02540	7180000115902	-	-	cm	1	1877	1769	1	-	3'	3	0.54	42.5	907.2	1.10E-282	!	=	2	0.999	1	""""	""""	""""	Archaeal large subunit ribosomal RNA
5	SSU_rRNA_microsporidia	RF02542	7180000115902	-	-	cm	1	1312	5668	4185	-	no	1	0.57	24.9	700.3	1.40E-211	!	=	1	1	0.993	""""	""""	""""	Microsporidia small subunit ribosomal RNA
6	SSU_rRNA_eukarya	RF01960	7180000115902	-	-	cm	1	1851	5668	4185	-	no	1	0.57	24.9	665	4.20E-198	!	=	1	1	0.993	""""	""""	""""	Eukaryotic small subunit ribosomal RNA
7	LSU_rRNA_eukarya	RF02543	7180000115902	-	-	cm	1	1974	1623	1	-	3'	3	0.55	37.4	539.5	1.50E-134	!	=	2	1	0.918	""""	""""	""""	Eukaryotic large subunit ribosomal RNA
8	tRNA	RF00005	7180000115902	-	-	cm	1	71	20380	20453	+	no	1	0.46	0	67.4	3.70E-13	!	^	-	-	-	-	-	-	tRNA
9	tRNA	RF00005	7180000115902	-	-	cm	1	71	23138	23065	-	no	1	0.55	0	64.2	2.90E-12	!	^	-	-	-	-	-	-	tRNA
10	tRNA	RF00005	7180000115902	-	-	cm	1	71	5978	5907	-	no	1	0.49	0	58.8	9.70E-11	!	*	-	-	-	-	-	-	tRNA
11	tRNA	RF00005	7180000115902	-	-	cm	1	71	12332	12412	+	no	1	0.52	0	57.1	2.90E-10	!	^	-	-	-	-	-	-	tRNA
12	Intron_gpII	RF00029	7180000115902	-	-	cm	1	93	2074	1962	-	no	1	0.54	0	58.8	2.00E-09	!	*	-	-	-	-	-	-	Group II catalytic intron
13	Intron_gpII	RF00029	7180000115902	-	-	cm	1	93	8601	8674	+	no	1	0.47	0	55.8	1.10E-08	!	*	-	-	-	-	-	-	Group II catalytic intron
14	Intron_gpII	RF00029	7180000115902	-	-	cm	1	93	25876	25952	+	no	1	0.42	0	51	1.60E-07	!	*	-	-	-	-	-	-	Group II catalytic intron
15	Intron_gpII	RF00029	7180000115902	-	-	cm	1	93	7829	7905	+	no	1	0.45	0	50.2	2.50E-07	!	*	-	-	-	-	-	-	Group II catalytic intron
16	Intron_gpII	RF00029	7180000115902	-	-	cm	1	93	10927	11005	+	no	1	0.46	0	49.4	3.90E-07	!	*	-	-	-	-	-	-	Group II catalytic intron
17	Intron_gpII	RF00029	7180000115902	-	-	cm	1	93	3020	2902	-	no	1	0.47	0	48.9	5.30E-07	!	*	-	-	-	-	-	-	Group II catalytic intron
18	Intron_gpII	RF00029	7180000115902	-	-	cm	1	93	21900	21978	+	no	1	0.38	0	48.4	7.10E-07	!	*	-	-	-	-	-	-	Group II catalytic intron
19	5_8S_rRNA	RF00002	7180000115902	-	-	cm	1	154	1755	1602	-	no	1	0.51	0	36.5	5.10E-06	!	=	2	1	0.087	""""	""""	""""	5.8S ribosomal RNA
20	tRNA-Sec	RF01852	7180000115902	-	-	cm	1	91	12331	12412	+	no	1	0.51	0	35.7	0.00095	!	=	11	0.988	1	""""	""""	""""	Selenocysteine transfer RNA
21	tRNA-Sec	RF01852	7180000115902	-	-	cm	1	91	23140	23064	-	no	1	0.57	0	32.4	0.0066	!	=	9	0.961	1	""""	""""	""""	Selenocysteine transfer RNA
1	MIR1888	RF03616	7180000107856	-	-	cm	1	101	118	15	-	no	1	0.26	3.5	42.5	2.70E-05	!	*	-	-	-	-	-	-	MIR1888 microRNA precursor family
2	mir-75	RF00828	7180000107856	-	-	cm	1	100	7	120	+	no	1	0.25	7.3	36	0.00035	!	^	-	-	-	-	-	-	microRNA mir-75
3	MIR1888	RF03616	7180000107856	-	-	cm	1	101	15	118	+	no	2	0.26	3.5	36.8	0.00094	!	=	2	1	0.912	""""	""""	""""	MIR1888 microRNA precursor family
1	tRNA	RF00005	7180000115039	-	-	cm	1	71	5185	5113	-	no	1	0.59	0	70.9	1.10E-14	!	^	-	-	-	-	-	-	tRNA
2	tRNA-Sec	RF01852	7180000115039	-	-	cm	1	91	5187	5112	-	no	1	0.59	0	44	1.80E-06	!	=	1	0.961	1	""""	""""	""""	Selenocysteine transfer RNA
1	snoR137	RF01433	7180000106258	-	-	cm	1	146	21138	21280	+	no	1	0.34	0.2	108.5	3.80E-18	!	*	-	-	-	-	-	-	small nucleolar RNA snoR137
2	tRNA	RF00005	7180000106258	-	-	cm	1	71	65767	65695	-	no	1	0.58	0	60.1	3.40E-10	!	^	-	-	-	-	-	-	tRNA
